رقم المحضر,اسم الجامع/مسجد,الموقع,تاريخ الزيارة (هجري),التاريخ الميلادي (تقريبي),المسببات,الإجراء المتخذ,رقم عداد الكهرباء,نوع المخالفة,Unnamed: 9
170,جامع حلاة الجلة,الجلة القويعية,28/01/1447,23/07/2025,وجود اكباس غازية – مغسلة اموات,تمت المعالجة,KFM2020660209326,تشغيل مكيفات او انارة خارج اوقات الصلاة,
171,مسجد واسط,واسط مرات,28/01/1447,23/07/2025,تشغيل مكيفات – اكباس غازية,تمت المعالجة,KFM2020766122226,تشغيل مكيفات او انارة خارج اوقات الصلاة,
172,جامع الهمجة,الهمجة مرات,28/01/1447,23/07/2025,تشغيل مكيفات – اكباس غازية,تمت المعالجة,KFM2120660267491,تشغيل مكيفات او انارة خارج اوقات الصلاة,
173,جامع ال وهطان,الفويلق القويعية,28/01/1447,23/07/2025,تشغيل مكيفات – اكباس غازية,تمت المعالجة,KFM2120660240350,تشغيل مكيفات او انارة خارج اوقات الصلاة,
174,جامع حمد بن سليمان,القويعية,29/01/1447,24/07/2025,تشغيل مكيفات – مرفق العامل,تمت المعالجة,KFM2020660167711,مستغلة من قبل العمالة,
175,جامع أبو سليم,القويعية,29/01/1447,24/07/2025,تشغيل مكيفات – استغلال مرفق,تمت المعالجة,KFM2020660190629,استغلال مرفق,
176,جامع ال مطرف,وادي الدواسر,21/01/1447,17/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660212686,تشغيل مكيفات او انارة خارج اوقات الصلاة,
177,محطة ال هدلا,وداي الدواسر,21/01/1447,17/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,MMF2020800311315,تشغيل مكيفات او انارة خارج اوقات الصلاة,
178,جامع الشرافي,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660174600,تشغيل مكيفات او انارة خارج اوقات الصلاة,
179,جامع الخماسين,وداي الدواسر,20/01/1447,16/07/2025,تعدي كهرباء غطاس – تشغيل مكيفات,تمت المعالجة,MMF2020800310729,تعدي للكهرباء,
180,مسجد منير,وداي الدواسر,21/01/1447,17/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,MMF2020800259524,تشغيل مكيفات او انارة خارج اوقات الصلاة,
181,مسجد مترك,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,AEC2020830323574,تشغيل مكيفات او انارة خارج اوقات الصلاة,
182,مسجد لا يحمل اسم,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,ECC2320831067324,تشغيل مكيفات او انارة خارج اوقات الصلاة,
183,مسجد ال فايزة,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2120660259982,تشغيل مكيفات او انارة خارج اوقات الصلاة,
184,محمد بن فهيد,وداي الدواسر,20/01/1447,16/07/2025,استغلال مصلى النساء وتحويلة الى سكن – اكباس,تمت المعالجة,AEC2020830311360,مستغلة من قبل العمالة,
185,جامع كمدة,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2120660247622,تشغيل مكيفات او انارة خارج اوقات الصلاة,
186,جامع الخالدية,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660174599,تشغيل مكيفات او انارة خارج اوقات الصلاة,
187,جامع مران,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660174657,تشغيل مكيفات او انارة خارج اوقات الصلاة,
188,مسجد مريس,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660206050,تشغيل مكيفات او انارة خارج اوقات الصلاة,
189,مسجد أسامة بن زيد,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660177857,تشغيل مكيفات او انارة خارج اوقات الصلاة,
190,مسجد ال صمعان,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660174703,تشغيل مكيفات او انارة خارج اوقات الصلاة,
191,مسجد ال وذيلة,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020760181897,تشغيل مكيفات او انارة خارج اوقات الصلاة,
192,مسجد الصافي,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2120660263478,تشغيل مكيفات او انارة خارج اوقات الصلاة,
193,مسجد الخماسين الشمالي,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660177858,تشغيل مكيفات او انارة خارج اوقات الصلاة,
194,مسجد الجويعد,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,SMR2220661004530,تشغيل مكيفات او انارة خارج اوقات الصلاة,
195,مسجد ال حصوان,وداي الدواسر,20/01/1447,16/07/2025,عدم اغلاق دورات المياه – انارات,تمت المعالجة,KFM2020660212775,تشغيل مكيفات او انارة خارج اوقات الصلاة,
196,جامع محمد علوش,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2120660247670,تشغيل مكيفات او انارة خارج اوقات الصلاة,
197,جامع سوق النويعمة,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660174594,تشغيل مكيفات او انارة خارج اوقات الصلاة,
198,مسجد مبارك ال شعيل,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660223663,تشغيل مكيفات او انارة خارج اوقات الصلاة,
199,جامع الادام,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660176056,تشغيل مكيفات او انارة خارج اوقات الصلاة,
200,جامع ال رمضة,وداي الدواسر,20/01/1447,16/07/2025,تشغيل المكيفات,تمت المعالجة,,تشغيل مكيفات او انارة خارج اوقات الصلاة,
201,جامع ال تميم,وداي الدواسر,20/01/1447,16/07/2025,تشغيل مكيفات – انارات,تمت المعالجة,,تشغيل مكيفات او انارة خارج اوقات الصلاة,
202,جامع ال محيش,وداي الدواسر,20/01/1447,16/07/2025,اكباس غازية – استغلال مرفق,تمت المعالجة,KFM2020660212721,استغلال مرفق,
203,مسجد ال طنف القرنين,وداي الدواسر,21/01/1447,17/07/2025,تعدي كهرباء فلتين داخل ملك خاص,تمت المعالجة,KFM2120660247687,تعدي للكهرباء,
204,جامع محمد بن صقر,وداي الدواسر,21/01/1447,17/07/2025,تعدي قصر,تمت المعالجة,KFM2020660176030,تعدي للكهرباء,
205,عداد على منزل حي العزيزية (النويعمة),وداي الدواسر,21/01/1447,17/07/2025,عداد يقع على منزل وتشغيلة بشكل كامل,تمت المعالجة,,استغلال مرفق,
206,مسجد محطة الفنار(السلام),وداي الدواسر,21/01/1447,17/07/2025,مسجد يقع داخل محطة,تمت المعالجة,MMF2020800299662,أخرى,
